Time (Unix),Time (yyyy-mm-dd hh:mm:ss),Value
1717598580,2024-06-05 14:43:00,0.316848502
1717598640,2024-06-05 14:44:00,0.297182595
1717598700,2024-06-05 14:45:00,0.280789276
1717598760,2024-06-05 14:46:00,0.277517139
1717598820,2024-06-05 14:47:00,0.284546467
1717598880,2024-06-05 14:48:00,0.274845268
1717598940,2024-06-05 14:49:00,0.2497535
1717599000,2024-06-05 14:50:00,0.23762686
1717599060,2024-06-05 14:51:00,0.222219073
1717599120,2024-06-05 14:52:00,0.219580846
1717599180,2024-06-05 14:53:00,0.206635445
1717599240,2024-06-05 14:54:00,0.186559869
1717599300,2024-06-05 14:55:00,0.15514385
1717599360,2024-06-05 14:56:00,0.11027097
1717599420,2024-06-05 14:57:00,0.066175455
1717599480,2024-06-05 14:58:00,0.034056457
1717599540,2024-06-05 14:59:00,0.013944347
1717599600,2024-06-05 15:00:00,0.014804155
1717599660,2024-06-05 15:01:00,0.006510225
1717599720,2024-06-05 15:02:00,0.007907172
1717599780,2024-06-05 15:03:00,-0.011023507
1717599840,2024-06-05 15:04:00,-0.016954683
1717599900,2024-06-05 15:05:00,-0.023402702
1717599960,2024-06-05 15:06:00,-0.011770777
1717600020,2024-06-05 15:07:00,0.000611737
1717600080,2024-06-05 15:08:00,0.008303886
1717600140,2024-06-05 15:09:00,0.012105953
1717600200,2024-06-05 15:10:00,0.026146821
1717600260,2024-06-05 15:11:00,0.032964632
1717600320,2024-06-05 15:12:00,0.025167023
1717600380,2024-06-05 15:13:00,0.02931685
1717600440,2024-06-05 15:14:00,0.036039173
1717600500,2024-06-05 15:15:00,0.052877013
1717600560,2024-06-05 15:16:00,0.083806067
1717600620,2024-06-05 15:17:00,0.101499132
1717600680,2024-06-05 15:18:00,0.116597697
1717600740,2024-06-05 15:19:00,0.130289191
1717600800,2024-06-05 15:20:00,0.133548462
1717600860,2024-06-05 15:21:00,0.127791498
1717600920,2024-06-05 15:22:00,0.131525028
1717600980,2024-06-05 15:23:00,0.142404289
1717601040,2024-06-05 15:24:00,0.151698248
1717601100,2024-06-05 15:25:00,0.146090971
1717601160,2024-06-05 15:26:00,0.122283663
1717601220,2024-06-05 15:27:00,0.131936813
1717601280,2024-06-05 15:28:00,0.145981454
1717601340,2024-06-05 15:29:00,0.163306669
1717601400,2024-06-05 15:30:00,0.199493585
1717601460,2024-06-05 15:31:00,0.232998507
1717601520,2024-06-05 15:32:00,0.259784431
1717601580,2024-06-05 15:33:00,0.281000931
1717601640,2024-06-05 15:34:00,0.291230372
1717601700,2024-06-05 15:35:00,0.301510072
1717601760,2024-06-05 15:36:00,0.297361004
1717601820,2024-06-05 15:37:00,0.291511324
1717601880,2024-06-05 15:38:00,0.297087657
1717601940,2024-06-05 15:39:00,0.282308001
1717602000,2024-06-05 15:40:00,0.280163166
1717602060,2024-06-05 15:41:00,0.278018201
1717602120,2024-06-05 15:42:00,0.282406982
1717602180,2024-06-05 15:43:00,0.284222614
1717602240,2024-06-05 15:44:00,0.287982181
1717602300,2024-06-05 15:45:00,0.292440166
1717602360,2024-06-05 15:46:00,0.287016191
1717602420,2024-06-05 15:47:00,0.264339103
1717602480,2024-06-05 15:48:00,0.236380256
1717602540,2024-06-05 15:49:00,0.213480529
1717602600,2024-06-05 15:50:00,0.199384384
1717602660,2024-06-05 15:51:00,0.177684163
1717602720,2024-06-05 15:52:00,0.16704172
1717602780,2024-06-05 15:53:00,0.163979502
1717602840,2024-06-05 15:54:00,0.164497941
1717602900,2024-06-05 15:55:00,0.162104148
1717602960,2024-06-05 15:56:00,0.151624634
1717603020,2024-06-05 15:57:00,0.144717612
1717603080,2024-06-05 15:58:00,0.137920171
1717603140,2024-06-05 15:59:00,0.123444453
1717603200,2024-06-05 16:00:00,0.097932772
1717603260,2024-06-05 16:01:00,0.080817548
1717603320,2024-06-05 16:02:00,0.06888035
1717603380,2024-06-05 16:03:00,0.053310404
1717603440,2024-06-05 16:04:00,0.04434124
1717603500,2024-06-05 16:05:00,0.050370057
1717603560,2024-06-05 16:06:00,0.056457933
1717603620,2024-06-05 16:07:00,0.055454896
1717603680,2024-06-05 16:08:00,0.042071265
1717603740,2024-06-05 16:09:00,0.021924303
1717603800,2024-06-05 16:10:00,-0.001680574
1717603860,2024-06-05 16:11:00,-0.014571226
1717603920,2024-06-05 16:12:00,-0.029291011
1717603980,2024-06-05 16:13:00,-0.038096642
1717604040,2024-06-05 16:14:00,-0.061002517
1717604100,2024-06-05 16:15:00,-0.08414071
1717604160,2024-06-05 16:16:00,-0.096531707
1717604220,2024-06-05 16:17:00,-0.094769307
1717604280,2024-06-05 16:18:00,-0.088319913
1717604340,2024-06-05 16:19:00,-0.082260474
1717604400,2024-06-05 16:20:00,-0.082957375
1717604460,2024-06-05 16:21:00,-0.087336345
1717604520,2024-06-05 16:22:00,-0.067324013
1717604580,2024-06-05 16:23:00,-0.034245131
1717604640,2024-06-05 16:24:00,-0.007132673
1717604700,2024-06-05 16:25:00,0.009396264
1717604760,2024-06-05 16:26:00,0.024640346
1717604820,2024-06-05 16:27:00,0.029841374
1717604880,2024-06-05 16:28:00,0.02829527
1717604940,2024-06-05 16:29:00,0.027327863
1717605000,2024-06-05 16:30:00,0.029449378
1717605060,2024-06-05 16:31:00,0.029180486
1717605120,2024-06-05 16:32:00,0.029530722
1717605180,2024-06-05 16:33:00,0.019800215
1717605240,2024-06-05 16:34:00,0.010355513
1717605300,2024-06-05 16:35:00,0.005972849
1717605360,2024-06-05 16:36:00,-0.002259413
1717605420,2024-06-05 16:37:00,-0.005779739
1717605480,2024-06-05 16:38:00,-0.006190481
1717605540,2024-06-05 16:39:00,-0.00524516
1717605600,2024-06-05 16:40:00,-0.018803724
1717605660,2024-06-05 16:41:00,-0.024425919
1717605720,2024-06-05 16:42:00,-0.026159252
1717605780,2024-06-05 16:43:00,-0.032930846
1717605840,2024-06-05 16:44:00,-0.035340148
1717605900,2024-06-05 16:45:00,-0.027252391
1717605960,2024-06-05 16:46:00,-0.01612207
1717606020,2024-06-05 16:47:00,0.002258917
1717606080,2024-06-05 16:48:00,0.021420557
1717606140,2024-06-05 16:49:00,0.038981152
1717606200,2024-06-05 16:50:00,0.049383543
1717606260,2024-06-05 16:51:00,0.049504122
1717606320,2024-06-05 16:52:00,0.048364358
1717606380,2024-06-05 16:53:00,0.046800561
1717606440,2024-06-05 16:54:00,0.062193022
1717606500,2024-06-05 16:55:00,0.07154161
1717606560,2024-06-05 16:56:00,0.067010258
1717606620,2024-06-05 16:57:00,0.072947116
1717606680,2024-06-05 16:58:00,0.076767194
1717606740,2024-06-05 16:59:00,0.07569441
1717606800,2024-06-05 17:00:00,0.062815227
1717606860,2024-06-05 17:01:00,0.05919632
1717606920,2024-06-05 17:02:00,0.058861321
1717606980,2024-06-05 17:03:00,0.051570239
1717607040,2024-06-05 17:04:00,0.049769302
1717607100,2024-06-05 17:05:00,0.051660086
1717607160,2024-06-05 17:06:00,0.056948193
1717607220,2024-06-05 17:07:00,0.050063966
1717607280,2024-06-05 17:08:00,0.043302091
1717607340,2024-06-05 17:09:00,0.047083504
1717607400,2024-06-05 17:10:00,0.04446799
1717607460,2024-06-05 17:11:00,0.050304063
1717607520,2024-06-05 17:12:00,0.059743675
1717607580,2024-06-05 17:13:00,0.065644868
1717607640,2024-06-05 17:14:00,0.067924778
1717607700,2024-06-05 17:15:00,0.070205337
1717607760,2024-06-05 17:16:00,0.088287196
1717607820,2024-06-05 17:17:00,0.096190792
1717607880,2024-06-05 17:18:00,0.100154114
1717607940,2024-06-05 17:19:00,0.081369205
1717608000,2024-06-05 17:20:00,0.025439499
1717608060,2024-06-05 17:21:00,-0.004709866
1717608120,2024-06-05 17:22:00,-0.029872931
1717608180,2024-06-05 17:23:00,-0.044061966
1717608240,2024-06-05 17:24:00,-0.049499393
1717608300,2024-06-05 17:25:00,-0.057973737
1717608360,2024-06-05 17:26:00,-0.068730858
1717608420,2024-06-05 17:27:00,-0.071597197
1717608480,2024-06-05 17:28:00,-0.072269147
1717608540,2024-06-05 17:29:00,-0.067943533
1717608600,2024-06-05 17:30:00,-0.065375676
1717608660,2024-06-05 17:31:00,-0.068067234
